CallingNumber,CalledNumber,CallDate,Day,CallTime,CallDuration,CallerCity,CallerPostCode,CallerSurname,CallerForename,CalledCity,CalledPostCode,CalledSurname,CalledForename
325579000000,325227000000,10/3/2016,2,6:34:31 AM,26:00:00,Brussels,1000,KHIRA,HANJINDER,Oslo,150,ARMSTRONG,LACEY
325517000000,325227000000,10/6/2017,6,11:37:45 PM,50:00:00,Brussels,1000,PEPLOE,DAKSHESH,Oslo,154,CLARK,YASIN
325519000000,325227000000,8/20/2017,1,12:15:28 AM,34:00:00,Brussels,1082,FISENTZIDES,MOHAN,Frankfurt,60313,WILLIAMSON,LUCIA
325544000000,325227000000,12/2/2016,6,5:01:08 AM,33:00:00,Brussels,1082,KERLIN,EASWARAN,Birmingham,B5 5TR,MULLINS,LACEY
325540000000,325227000000,10/30/2016,1,12:48:09 PM,15:00,Brussels,1044,TREPAS,SHIVV,Turin,10134,SHELTON,LUCIA
325593000000,325227000000,3/9/2017,5,8:45:07 PM,47:00:00,Brussels,1044,MARIBEL,JOYED,Turin,10125,MCCOY,SPENCER
325596000000,325227000000,11/24/2016,5,6:07:48 AM,13:00,Brussels,1044,ADEYEMO,DANVTA,Prague,119 00,RAY,KYE
325538000000,325227000000,3/6/2016,1,6:05:54 AM,48:00:00,Brussels,1180,ASHBOURNE,MALCOMBE,Turin,10121,ARMSTRONG,KYE
325532000000,325226000000,12/23/2017,7,8:05:29 AM,50:00:00,Brussels,1050,FAVOR,MEARLE,Stockholm,112 57,LAWRENCE,HASAN
325589000000,325226000000,8/1/2016,2,4:43:18 AM,25:00:00,Brussels,1050,HINDAWI,URRA-NAOIMI,Frankfurt,60316,HALL,ABBY
325327000000,325226000000,5/24/2016,3,4:54:00 PM,0:00,Brussels,1050,FAVOR,MEARLE,Turin,10125,DOYLE,FRANKIE
325329000000,325226000000,1/8/2017,1,10:38:07 AM,46:00:00,Brussels,1050,HINDAWI,URRA-NAOIMI,Moscow,105043,MCCOY,ANISA
325354000000,325226000000,4/8/2017,7,10:54:49 PM,37:00:00,Brussels,1050,LOHRER,ASHAM,Prague,128 00,LAWRENCE,FRANKIE
325350000000,325226000000,10/30/2016,1,10:14:44 PM,1:00,Brussels,1000,GRIMASON,VIRAM,Stockholm,112 52,GRAHAM,HASAN
325303000000,325226000000,9/21/2016,4,8:51:51 AM,59:00:00,Brussels,1000,CLOWWERS,TEMEEL,Moscow,103274,DREW,HARRY
325306000000,325226000000,8/22/2017,3,8:03:53 PM,47:00:00,Brussels,1110,NORZEN,GURVEV,Prague,128 00,MCCOY,AMBER
325368000000,325226000000,11/6/2016,1,8:10:04 AM,21:00,Brussels,1120,NEOTHYTOU,TAHBERT MANO,Turin,10138,CLARK,FELIX
325362000000,325226000000,3/17/2016,5,3:47:32 PM,21:00,Brussels,1120,KOMASKY,MUNAIR,Lyon,69009,MULLINS,HUGA
325379000000,325226000000,5/19/2017,6,1:32:43 PM,2:00,Brussels,1040,HARTBARGER,LANCELLIN,Lyon,69009,MULLINS,JESSIE
325317000000,325226000000,7/28/2016,5,5:42:46 PM,27:00:00,Brussels,1000,SADESH,MUZAER,Riga,1019,HALL,CIARAN
325319000000,325226000000,11/22/2017,4,3:27:57 PM,24:00:00,Brussels,1000,CROWL,KIARAN,Stockholm,111 29,WILLIAMSON,SYLVIA
325344000000,325226000000,10/30/2016,1,2:25:45 AM,17:00,Brussels,1000,CROWL,GENC,Prague,109 00,MARTIN,HUGA
325340000000,325226000000,8/15/2017,3,4:10:38 PM,13:00,Brussels,1110,MONFILS,BONY,Turin,10134,HALL,HARRY
325393000000,325226000000,8/19/2017,7,6:56:52 AM,50:00:00,Brussels,1110,KIRKSEY,ADESWA FRIEDA,Moscow,103274,MARTIN,JESSIE
325396000000,325226000000,4/10/2017,2,4:05:21 PM,41:00:00,Brussels,1000,SADESH,MUZAER,Moscow,105043,ARMSTRONG,SPENCER
325338000000,325226000000,4/23/2016,7,2:12:15 AM,43:00:00,Brussels,1083,ASLER,NICHAELAS,Frankfurt,60308,CLARK,HARRY
325332000000,325226000000,10/21/2017,7,6:29:11 PM,33:00:00,Brussels,1083,JIVVA,NOZAT,Oslo,154,LAWRENCE,JESSIE
325389000000,325226000000,10/21/2017,7,1:47:41 AM,16:00,Brussels,1120,VATNADOST,R.,Riga,1004,WEAVER,FELIX
325927000000,325226000000,1/19/2016,3,6:36:21 PM,40:00:00,Brussels,1120,KILLOKE,FIRUZ,Stockholm,113 53,WILLIAMSON,SPENCER
325929000000,325226000000,6/8/2017,5,10:30:30 AM,24:00:00,Brussels,1050,BICHNEEL,SHERALYN,Lyon,69002,GRAHAM,HARRY
325954000000,325226000000,9/9/2016,6,4:26:21 AM,44:00:00,Brussels,1083,MCKNENVIER,PURLEN,Birmingham,B5 4RT,SHELTON,LISA
325950000000,325226000000,10/2/2017,2,8:33:26 AM,2:00,Brussels,1083,AH-DAMEYER,FREOA,Frankfurt,60433,WHEELER,FRANKIE
325903000000,325226000000,4/30/2016,7,8:30:50 AM,12:00,Brussels,1000,BERFIELD,SWASTIKA,Stockholm,113 53,ARMSTRONG,FRANKIE
325906000000,325226000000,4/13/2016,4,3:24:14 AM,48:00:00,Brussels,1000,DALINORE,LOOSE,Riga,1013,ROSALES,FRANKIE
325968000000,325227000000,1/4/2017,4,9:07:45 AM,26:00:00,Brussels,1000,MOWWERRY,DALLIEN,Oslo,159,MEYER,SYLVIA
325962000000,325227000000,9/3/2016,7,5:12:59 AM,34:00:00,Brussels,1000,ROCHFORD,JOSVIR ELBRO,Riga,1013,DREW,ABBY
325979000000,325227000000,1/16/2017,2,6:58:44 AM,3:00,Brussels,1120,KARIN,ESTAA,Lyon,69009,DREW,ABBY
325917000000,325227000000,4/2/2017,1,12:47:17 AM,32:00:00,Brussels,1120,GARRELS,IRADA,Riga,1013,WEAVER,LAYTON
325919000000,325227000000,8/27/2017,1,6:01:17 PM,52:00:00,Brussels,1000,SMAALOV,SHANE,Stockholm,113 53,HALL,AMBER
325944000000,325227000000,11/2/2017,5,9:25:26 PM,59:00:00,Brussels,1000,BUNDEL,KESSHU,Lyon,69009,HALL,LUCIA
325940000000,325227000000,7/15/2017,7,10:09:33 AM,6:00,Brussels,1000,DINE,MATUARU,Turin,10129,WILLIAMSON,ZAKARIA
325993000000,325227000000,5/6/2017,7,12:02:18 PM,36:00:00,Brussels,1081,PANDHEER,SARWAIN,Birmingham,B5 5TR,ROGERS,LISA
325996000000,325227000000,11/26/2017,1,7:29:10 AM,37:00:00,Brussels,1000,DALINORE,LOOSE,Stockholm,112 52,GRAHAM,SYLVIA
325938000000,325227000000,12/12/2017,3,12:58:50 AM,5:00,Brussels,1110,GEGGA,COTE,Turin,10134,RAY,AMBER
325932000000,325227000000,1/2/2016,7,2:39:07 PM,41:00:00,Brussels,1150,CATERAL,SHINEA-ONN,Oslo,184,MULLINS,JESSIE
325989000000,325227000000,11/1/2016,3,3:36:56 AM,3:00,Brussels,1150,HORGER,LACRESIA,Frankfurt,60433,DREW,ZAKARIA
325627000000,325227000000,1/12/2017,5,10:46:29 AM,45:00:00,Brussels,1150,FLAVIN,LEUNGO,Moscow,103274,ARMSTRONG,SPENCER
325629000000,325227000000,9/19/2017,3,3:13:43 PM,46:00:00,Brussels,1150,SATCHDEVV,ERAMMAN,Birmingham,B5 5TR,MARTIN,HARRY
325654000000,325227000000,3/20/2016,1,1:51:34 PM,3:00,Brussels,1150,GADDIR,LOUELA,Lyon,69002,MARTIN,ZAKARIA
325650000000,325227000000,3/28/2016,2,2:59:44 AM,20:00,Brussels,1150,KULJITT,CONSTANSIE,Stockholm,111 29,DREW,SPENCER
325603000000,325227000000,4/3/2017,2,1:55:38 PM,39:00:00,Brussels,1000,RACKARDS,DUNSTAN,Riga,1004,HARVEY,HUGA
325606000000,325226000000,11/13/2016,1,4:17:12 PM,44:00:00,Brussels,1000,CRESTON,ERBE-KRUS,Oslo,154,WILLIAMSON,SYLVIA
325668000000,325226000000,1/27/2016,4,8:16:37 PM,44:00:00,Brussels,1000,BARDES,MITZI,Moscow,105043,BIRD,ESME
325662000000,325226000000,9/20/2016,3,6:49:22 PM,27:00:00,Brussels,1000,CRESTON,ERBE-KRUS,Oslo,159,HALL,JESSIE
325679000000,325226000000,1/3/2017,3,9:56:39 PM,45:00:00,Brussels,1083,JUSTINIANO,ERICA,Oslo,159,MULLINS,LAYTON
325617000000,325226000000,4/15/2016,6,11:23:53 AM,20:00,Brussels,1000,MALAKOUTI,MATHIS,Riga,1019,MULLINS,ZAKARIA
325619000000,325226000000,11/13/2016,1,6:39:53 AM,26:00:00,Brussels,1170,CABANILA,MOHMOD,Riga,1013,HALL,ANISA
325644000000,325226000000,12/7/2017,5,1:31:41 PM,55:00:00,Brussels,1083,PODSBURY,NICHAELAS,Stockholm,111 29,CLARK,LACEY
325640000000,325226000000,9/29/2017,6,8:37:40 PM,0:00,Brussels,1000,BOSWORD,NOAAMI,Stockholm,112 57,ARMSTRONG,ESME
325693000000,325226000000,11/1/2016,3,12:38:46 PM,27:00:00,Brussels,1083,JUSTINIANO,ERICA,Oslo,154,HALL,FRANKIE
325696000000,325227000000,6/1/2016,4,11:00:37 PM,1:00,Brussels,1000,GARTLAND,GURMESO,Frankfurt,60316,GRAHAM,KYE
325638000000,325227000000,9/25/2017,2,5:41:13 AM,23:00,Brussels,1000,MHOUMADI,PEII,Stockholm,112 52,MULLINS,HUGA
325632000000,325227000000,2/24/2016,4,5:42:20 AM,44:00:00,Brussels,1000,MHOUMADI,PEII,Moscow,105077,SHELTON,LUCIA
325689000000,325227000000,12/19/2016,2,9:25:14 AM,7:00,Brussels,1040,HERIG,PAMY,Lyon,69005,MARTIN,FRANKIE
325827000000,325227000000,11/17/2016,5,4:31:24 PM,2:00,Brussels,1040,YOWE,EARLY,Prague,104 00,CLARK,AMBER
325829000000,325227000000,5/28/2017,1,2:34:56 PM,3:00,Brussels,1040,SADICCEI,JASKIRAN,Oslo,154,BIRD,LACEY
325854000000,325227000000,3/30/2016,4,6:49:20 AM,2:00,Brussels,1201,AH-DAMEYER,ADESWA FRIEDA,Lyon,69009,BIRD,HASAN
325850000000,325227000000,9/8/2017,6,7:52:26 AM,29:00:00,Brussels,1180,ALCANTARA,AYAMME MENIRA,Turin,10121,ROGERS,LACEY
325803000000,325227000000,1/30/2017,2,12:25:44 PM,40:00:00,Brussels,1180,MICHAILOVSKAJA,BLUW KIV,Moscow,103274,ARMSTRONG,KYE
325806000000,325227000000,7/7/2016,5,8:08:35 AM,30:00:00,Brussels,1180,FAGNANI,ASODULLAH,Lyon,69005,HARVEY,FRANKIE
325868000000,325227000000,10/14/2017,7,8:39:38 PM,46:00:00,Brussels,1180,BOTTING,IHRIG,Turin,10129,CLARK,LUCIA
325862000000,325227000000,1/22/2017,1,7:25:17 AM,22:00,Brussels,1180,AUJLA,EILISH,Frankfurt,60316,MEYER,FRANKIE
325879000000,325225000000,3/1/2017,4,2:20:54 AM,2:00,Brussels,1000,HULLAND,ALPHONSO,Birmingham,B2 4AY,GRAHAM,SYLVIA
325817000000,325225000000,8/18/2016,5,8:24:41 AM,51:00:00,Brussels,1110,MORRICK,FERZONA,Stockholm,112 52,RAY,HARRY
325819000000,325225000000,6/6/2017,3,9:40:19 PM,31:00:00,Brussels,1110,DWELLY,ZAKHIIL,Moscow,123100,SHELTON,FRANKIE
325844000000,325224000000,2/21/2017,3,2:50:18 PM,8:00,Brussels,1000,HAYHOE,ALLICAN,Frankfurt,60386,DOYLE,ESME
325840000000,325224000000,2/22/2016,2,5:53:35 PM,31:00:00,Brussels,1000,PROUDEN,AMELILLA,Stockholm,112 57,BIRD,ESME
325893000000,325224000000,7/30/2016,7,3:02:07 PM,32:00:00,Brussels,1000,ALOISE,JORGASTRID,Turin,10134,SHELTON,ESME
325896000000,325224000000,12/14/2017,5,7:14:40 AM,30:00:00,Brussels,1000,BYDER,KEMAR,Riga,1019,DREW,ESME
325838000000,325224000000,5/15/2017,2,4:52:14 AM,50:00:00,Brussels,1000,JAMMIEL,MERIA NAOIMI,Birmingham,B5 5TR,MARTIN,LUCIA
325832000000,325224000000,6/6/2017,3,8:34:15 PM,2:00,Brussels,1000,JAMMIEL,MERIA NAOIMI,Riga,1019,SHELTON,FELIX
325889000000,325224000000,2/11/2017,7,1:30:10 PM,3:00,Brussels,1000,BYDER,KEMAR,Stockholm,111 29,ROGERS,KYE
325027000000,325224000000,10/29/2017,1,12:58:16 AM,52:00:00,Brussels,1000,PROUDEN,AMELILLA,Frankfurt,60433,SHELTON,KYE
325029000000,325224000000,7/7/2016,5,8:39:18 AM,24:00:00,Brussels,1083,PHAT,MELVIIS,Stockholm,112 52,MEYER,KYE
325054000000,325224000000,11/24/2016,5,1:30:41 AM,9:00,Brussels,1110,ANISI,GURCHARN,Prague,109 00,MARTIN,SPENCER
325050000000,325224000000,10/26/2017,5,2:52:35 PM,25:00:00,Brussels,1110,ANISI,COERINE,Frankfurt,60308,RAY,FELIX
325003000000,325224000000,11/29/2017,4,12:56:17 PM,40:00:00,Brussels,1110,GIWWA,PAWON,Frankfurt,60386,MEYER,FRANKIE
325006000000,325224000000,8/11/2017,6,4:51:14 AM,0:00,Brussels,1110,BOREHAM,ASVIKA,Birmingham,B2 4BJ,CLARK,SPENCER
325068000000,325224000000,4/10/2016,1,5:44:27 PM,4:00,Brussels,1110,BOREHAM,IMPRACUIM,Riga,1019,DREW,LAYTON
325062000000,325224000000,10/3/2016,2,3:37:54 AM,59:00:00,Brussels,1110,BOREHAM,GULNWAZ,Turin,10129,CLARK,HARRY
325079000000,325224000000,5/22/2016,1,12:37:39 PM,51:00:00,Brussels,1044,ALEXSANDROWICZ,LATONDRA LEYNA,Prague,101 00,MULLINS,HARRY
325017000000,325224000000,3/5/2016,7,9:46:53 AM,15:00,Brussels,1000,SYLES,SHAAMUSANATHAN,Riga,1013,DOYLE,SYLVIA
325019000000,325224000000,5/29/2017,2,11:06:46 AM,29:00:00,Brussels,1110,BOREHAM,GULNWAZ,Riga,1004,SHELTON,ZAKARIA
325044000000,325224000000,12/6/2017,4,2:30:44 PM,49:00:00,Brussels,1000,PROUDEN,AMELILLA,Turin,10125,ARMSTRONG,LAYTON
325040000000,325223000000,3/26/2017,1,1:55:09 AM,27:00:00,Brussels,1083,COULETT,MAZZO WYBRON,Turin,10121,BIRD,ABBY
325093000000,325223000000,4/8/2016,6,12:20:06 AM,25:00:00,Brussels,1083,LUNON,RAMANLAL,Lyon,69009,WHEELER,ZAKARIA
325096000000,325223000000,11/22/2016,3,9:00:22 AM,21:00,Brussels,1083,KIEF,SULMAN MUSART,Turin,10129,BIRD,HARRY
325038000000,325223000000,8/28/2017,2,9:14:02 AM,48:00:00,Brussels,1083,COULETT,MAZZO WYBRON,Stockholm,112 57,WHEELER,FRANKIE
325032000000,325223000000,3/1/2017,4,3:58:13 PM,46:00:00,Brussels,1150,MADDIE,TINATIN,Riga,1013,LAWRENCE,FRANKIE
325089000000,325223000000,1/21/2016,5,2:18:48 AM,32:00:00,Brussels,1150,MADDIE,TINATIN,Birmingham,B2 4BJ,ROGERS,LAYTON
325727000000,325223000000,1/20/2017,6,7:04:52 PM,13:00,Brussels,1150,FAIL,NAZRAH FAKHR,Moscow,105043,DOYLE,ZAKARIA
325729000000,325223000000,10/12/2016,4,1:37:42 AM,47:00:00,Brussels,1150,FAIL,NAZRAH FAKHR,Stockholm,114 60,DREW,JESSIE
325754000000,325223000000,8/9/2016,3,4:39:35 PM,4:00,Brussels,1150,FINAZO,THRINDERJIT SHAMSON,Stockholm,113 53,LAWRENCE,KYE
325750000000,325223000000,8/7/2016,1,12:36:45 PM,18:00,Brussels,1120,SULEHMAN-TANNIS,NEF',Stockholm,112 57,SHELTON,HUGA
325703000000,325223000000,4/4/2016,2,2:55:38 PM,47:00:00,Brussels,1150,FAIL,NAZRAH FAKHR,Stockholm,114 60,HARVEY,KYE
325706000000,325223000000,6/14/2017,4,1:25:54 AM,0:00,Brussels,1110,CRAVEN,DHARMENDU,Birmingham,B2 4AY,BIRD,ZAKARIA
325768000000,325223000000,2/6/2016,7,11:13:36 AM,1:00,Brussels,1110,GIWWA,PAWON,Riga,1019,SHELTON,KYE
325762000000,325223000000,7/5/2017,4,8:48:58 PM,59:00:00,Brussels,1000,MCMURODD,IEZI UTON,Prague,104 00,DREW,CIARAN
325779000000,325223000000,7/3/2016,1,4:56:36 PM,4:00,Brussels,1000,SYLES,SHAAMUSANATHAN,Frankfurt,60316,MARTIN,LISA
325717000000,325223000000,3/25/2017,7,2:05:53 PM,46:00:00,Brussels,1000,HALLIL,MATEW,Stockholm,112 57,LAWRENCE,FRANKIE
325719000000,325223000000,1/23/2017,2,12:24:49 AM,29:00:00,Brussels,1000,MCMURODD,IEZI UTON,Frankfurt,60433,HALL,YASIN
325744000000,325223000000,6/26/2017,2,7:24:07 AM,9:00,Brussels,1083,LUNON,RAMANLAL,Frankfurt,60386,MARTIN,HASAN
325740000000,325223000000,8/12/2017,7,5:37:25 AM,56:00:00,Brussels,1083,KIEF,SULMAN MUSART,Oslo,154,MARTIN,HUGA
325793000000,325223000000,11/5/2016,7,8:28:32 PM,56:00:00,Brussels,1083,COULETT,MAZZO WYBRON,Stockholm,113 53,ROSALES,ANISA
325796000000,325223000000,2/6/2016,7,7:29:59 AM,23:00,Brussels,1000,GRENNAL,GADIN,Stockholm,111 29,WILLIAMSON,FRANKIE
325738000000,325223000000,10/28/2016,6,4:45:13 PM,53:00:00,Brussels,1000,HENGESBACH,RUSTEM,Stockholm,114 60,SHELTON,HARRY
325732000000,325223000000,11/2/2016,4,6:52:36 PM,53:00:00,Brussels,1000,GRENNAL,GADIN,Lyon,69002,HARVEY,ESME
325789000000,325223000000,4/9/2016,7,3:07:40 AM,9:00,Brussels,1000,HENGESBACH,RUSTEM,Stockholm,112 57,MCCOY,YASIN
325127000000,325223000000,4/19/2016,3,7:31:34 AM,14:00,Brussels,1110,MAVER,ISSIR,Frankfurt,60313,WEAVER,YASIN
325129000000,325223000000,8/11/2017,6,5:21:58 AM,45:00:00,Brussels,1150,GAUDREAU,NIEL,Oslo,10,MULLINS,ANISA
325154000000,325223000000,4/19/2016,3,2:38:51 PM,23:00,Brussels,1150,JHIMM,NELIE,Oslo,150,CLARK,ESME
325150000000,325224000000,3/5/2017,1,10:00:47 AM,32:00:00,Brussels,1000,DARBEY,ISTHKAR,Birmingham,B2 4BJ,CLARK,FELIX
325103000000,325224000000,4/7/2017,6,9:23:42 PM,48:00:00,Brussels,1083,JULLY,JEZREL,Birmingham,B5 4RT,ROGERS,HARRY
325106000000,325224000000,5/2/2017,3,4:20:31 AM,25:00:00,Brussels,1000,GRENROD,CARLOLINE,Stockholm,114 60,CLARK,SYLVIA
325168000000,325224000000,7/7/2016,5,7:43:09 AM,49:00:00,Brussels,1000,GRENROD,CARLOLINE,Moscow,103274,MCCOY,JESSIE
325162000000,325224000000,11/23/2017,5,3:55:38 AM,44:00:00,Brussels,1000,LOCKLEY,TERWANDER KHARRUM,Turin,10138,DREW,LUCIA
325179000000,325224000000,4/1/2017,7,11:04:33 PM,4:00,Brussels,1000,JAKUBIK,NIDIN,Birmingham,B5 5TR,ROGERS,AMBER
325117000000,325224000000,5/23/2017,3,8:22:04 AM,46:00:00,Brussels,1000,JAKUBIK,NIDIN,Stockholm,114 60,CLARK,LACEY
325119000000,325224000000,11/4/2016,6,7:51:43 PM,6:00,Brussels,1000,BROCKERTON,KUTTI,Stockholm,114 60,ARMSTRONG,HUGA
325144000000,325224000000,6/28/2017,4,4:44:10 PM,6:00,Brussels,1000,BROCKERTON,KUTTI,Stockholm,112 57,GRAHAM,YASIN
325140000000,325224000000,12/7/2016,4,11:07:49 AM,34:00:00,Brussels,1000,WOTTER,ELANA,Birmingham,B5 5TR,WHEELER,FELIX
325193000000,325224000000,5/1/2017,2,4:57:59 PM,57:00:00,Brussels,1000,HENSTLER,CHIRISTOPHER,Birmingham,B5 4RT,ARMSTRONG,CIARAN
325196000000,325224000000,11/7/2017,3,7:29:31 AM,56:00:00,Brussels,1000,KULMARI,AKIJARDA,Frankfurt,60313,MCCOY,LAYTON
325138000000,325224000000,8/10/2016,4,5:17:31 AM,14:00,Brussels,1083,ASLER,NICHAELAS,Turin,10121,DREW,LACEY
325132000000,325224000000,5/27/2017,7,1:52:00 PM,13:00,Brussels,1000,ERIBENE,KATSUHIRO,Prague,109 00,SHELTON,LUCIA
325189000000,325224000000,7/14/2016,5,8:19:16 PM,12:00,Brussels,1000,HINE,SAJWANT,Turin,10129,WILLIAMSON,JESSIE
325427000000,325224000000,1/1/2016,6,12:46:12 PM,40:00:00,Brussels,1000,DROOBNY,NOSSIS,Stockholm,111 29,MEYER,HUGA
325429000000,325224000000,2/10/2017,6,3:36:26 AM,26:00:00,Brussels,1000,FALLIER,JOELINE,Frankfurt,60308,MULLINS,ESME
325454000000,325224000000,4/26/2017,4,8:11:11 AM,26:00:00,Brussels,1120,RIBBUNS,FATMEL,Oslo,150,LAWRENCE,HUGA
325450000000,325224000000,4/13/2017,5,12:31:57 PM,49:00:00,Brussels,1083,GEGGA,JASWAN,Frankfurt,60316,HARVEY,HARRY
325403000000,325224000000,7/21/2017,6,9:13:39 AM,48:00:00,Brussels,1083,BARGERY,ASSAM,Oslo,159,WEAVER,LACEY
325406000000,325224000000,7/11/2016,2,10:27:10 AM,37:00:00,Brussels,1083,MULFLAHI,BALALDISH,Moscow,105077,HALL,HASAN
325468000000,325224000000,4/9/2017,1,6:19:10 AM,20:00,Brussels,1000,LNGDON,CARRLUS,Birmingham,B5 4RT,HALL,KYE
325462000000,325224000000,10/17/2016,2,10:52:41 PM,58:00:00,Brussels,1083,BARGERY,ASSAM,Lyon,69009,MCCOY,HASAN
325479000000,325224000000,11/16/2016,4,8:16:19 AM,28:00:00,Brussels,1040,CAPLIN,SADAD PERM,Prague,109 00,LAWRENCE,AMBER
325417000000,325224000000,8/29/2016,2,4:06:00 AM,11:00,Brussels,1000,HOLBOURN,PADIE,Oslo,10,MCCOY,ESME
325419000000,325224000000,1/26/2017,5,3:13:29 PM,1:00,Brussels,1000,FASEN,SUKHDEV,Stockholm,111 29,CLARK,YASIN
325444000000,325224000000,7/24/2016,1,4:14:48 PM,23:00,Brussels,1120,PYRESS,INCE,Turin,10125,BIRD,SYLVIA
325440000000,325224000000,4/22/2017,7,3:35:20 PM,33:00:00,Brussels,1120,BOOTERIL,GENERAL,Birmingham,B2 4BJ,ROGERS,ANISA
325493000000,325224000000,8/29/2017,3,4:37:49 PM,28:00:00,Brussels,1120,BOOTERIL,NAZRAH FAKHR,Birmingham,B2 4AY,LAWRENCE,ABBY
325496000000,325224000000,5/14/2016,7,8:14:33 AM,10:00,Brussels,1120,BOOTERIL,INDEPAL,Lyon,69005,HALL,LACEY
325438000000,325224000000,9/22/2016,5,6:18:36 AM,20:00,Brussels,1200,PELTON,DAKSHESH,Riga,1004,SHELTON,SYLVIA
325432000000,325224000000,10/11/2016,3,8:57:47 AM,6:00,Brussels,1200,ENGELHARDT,IHRIG,Frankfurt,60313,CLARK,AMBER
325489000000,325224000000,8/16/2016,3,5:24:15 AM,52:00:00,Brussels,1200,ZIELINSKA,OISIIN,Lyon,69009,ARMSTRONG,YASIN
328227000000,325224000000,1/21/2016,5,4:46:26 PM,4:00,Brussels,1200,DIGIORGIO,ADESWA FRIEDA,Riga,1013,BIRD,ESME
328229000000,325224000000,1/1/2017,1,2:51:58 AM,8:00,Brussels,1200,GLUCKMANN,SDOAL,Stockholm,112 52,MULLINS,SPENCER
328254000000,325224000000,7/2/2017,1,11:15:22 AM,21:00,Brussels,1200,CHIPCHASE,SHELEN,Birmingham,B5 5TR,HALL,FRANKIE
